id,distance,from_node_code,from_node_id,from_node_type,time,to_node_code,to_node_id,to_node_type
1,0,D1,1,DEPOT,0,D1,1,DEPOT
2,7498,D2,2,DEPOT,1183,D1,1,DEPOT
3,0,D2,2,DEPOT,0,D2,2,DEPOT
4,6426,D1,1,DEPOT,938,D2,2,DEPOT
5,15799,D3,3,DEPOT,1760,D1,1,DEPOT
6,11289,D3,3,DEPOT,1097,D2,2,DEPOT
7,0,D3,3,DEPOT,0,D3,3,DEPOT
8,16235,D1,1,DEPOT,1693,D3,3,DEPOT
9,11352,D2,2,DEPOT,1167,D3,3,DEPOT
10,19145,D4,4,DEPOT,2541,D1,1,DEPOT
11,13624,D4,4,DEPOT,1977,D2,2,DEPOT
12,8328,D4,4,DEPOT,1146,D3,3,DEPOT
13,0,D4,4,DEPOT,0,D4,4,DEPOT
14,19322,D1,1,DEPOT,2508,D4,4,DEPOT
15,21262,D2,2,DEPOT,1983,D4,4,DEPOT
16,9126,D3,3,DEPOT,1236,D4,4,DEPOT
17,11094,D5,5,DEPOT,1485,D1,1,DEPOT
18,6045,D5,5,DEPOT,757,D2,2,DEPOT
19,16025,D5,5,DEPOT,1414,D3,3,DEPOT
20,25935,D5,5,DEPOT,2230,D4,4,DEPOT
21,0,D5,5,DEPOT,0,D5,5,DEPOT
22,8850,D1,1,DEPOT,1315,D5,5,DEPOT
23,6255,D2,2,DEPOT,767,D5,5,DEPOT
24,16421,D3,3,DEPOT,1436,D5,5,DEPOT
25,26393,D4,4,DEPOT,2308,D5,5,DEPOT
26,0,C1,1,CUSTOMER,0,C1,1,CUSTOMER
27,12979,C1,1,CUSTOMER,1574,D1,1,DEPOT
28,4175,C1,1,CUSTOMER,735,D2,2,DEPOT
29,15158,C1,1,CUSTOMER,1717,D3,3,DEPOT
30,10945,C1,1,CUSTOMER,1651,D4,4,DEPOT
31,5749,C1,1,CUSTOMER,1041,D5,5,DEPOT
32,9393,D1,1,DEPOT,1309,C1,1,CUSTOMER
33,4265,D2,2,DEPOT,768,C1,1,CUSTOMER
34,14256,D3,3,DEPOT,1468,C1,1,CUSTOMER
35,12256,D4,4,DEPOT,1790,C1,1,CUSTOMER
36,5857,D5,5,DEPOT,1026,C1,1,CUSTOMER
37,7391,C2,2,CUSTOMER,1198,C1,1,CUSTOMER
38,0,C2,2,CUSTOMER,0,C2,2,CUSTOMER
39,12530,C2,2,CUSTOMER,1757,D1,1,DEPOT
40,7008,C2,2,CUSTOMER,1193,D2,2,DEPOT
41,4797,C2,2,CUSTOMER,741,D3,3,DEPOT
42,7289,C2,2,CUSTOMER,923,D4,4,DEPOT
43,13131,C2,2,CUSTOMER,1588,D5,5,DEPOT
44,7015,C1,1,CUSTOMER,1095,C2,2,CUSTOMER
45,12135,D1,1,DEPOT,1634,C2,2,CUSTOMER
46,7454,D2,2,DEPOT,1171,C2,2,CUSTOMER
47,7382,D3,3,DEPOT,1039,C2,2,CUSTOMER
48,9563,D4,4,DEPOT,1276,C2,2,CUSTOMER
49,12132,D5,5,DEPOT,1381,C2,2,CUSTOMER
50,8313,C3,3,CUSTOMER,1465,C1,1,CUSTOMER
51,2498,C3,3,CUSTOMER,480,C2,2,CUSTOMER
52,0,C3,3,CUSTOMER,0,C3,3,CUSTOMER
53,14134,C3,3,CUSTOMER,2046,D1,1,DEPOT
54,8612,C3,3,CUSTOMER,1482,D2,2,DEPOT
55,3868,C3,3,CUSTOMER,622,D3,3,DEPOT
56,8660,C3,3,CUSTOMER,1221,D4,4,DEPOT
57,14735,C3,3,CUSTOMER,1876,D5,5,DEPOT
58,9075,C1,1,CUSTOMER,1440,C3,3,CUSTOMER
59,2523,C2,2,CUSTOMER,542,C3,3,CUSTOMER
60,14195,D1,1,DEPOT,1978,C3,3,CUSTOMER
61,9514,D2,2,DEPOT,1515,C3,3,CUSTOMER
62,5274,D3,3,DEPOT,753,C3,3,CUSTOMER
63,9175,D4,4,DEPOT,1313,C3,3,CUSTOMER
64,17062,D5,5,DEPOT,1716,C3,3,CUSTOMER
65,1265,C4,4,CUSTOMER,244,C1,1,CUSTOMER
66,5995,C4,4,CUSTOMER,939,C2,2,CUSTOMER
67,8055,C4,4,CUSTOMER,1284,C3,3,CUSTOMER
68,0,C4,4,CUSTOMER,0,C4,4,CUSTOMER
69,11505,C4,4,CUSTOMER,1305,D1,1,DEPOT
70,2702,C4,4,CUSTOMER,466,D2,2,DEPOT
71,13685,C4,4,CUSTOMER,1447,D3,3,DEPOT
72,13182,C4,4,CUSTOMER,1813,D4,4,DEPOT
73,8588,C4,4,CUSTOMER,1047,D5,5,DEPOT
74,1920,C1,1,CUSTOMER,420,C4,4,CUSTOMER
75,6643,C2,2,CUSTOMER,1126,C4,4,CUSTOMER
76,8247,C3,3,CUSTOMER,1415,C4,4,CUSTOMER
77,8645,D1,1,DEPOT,1238,C4,4,CUSTOMER
78,3516,D2,2,DEPOT,696,C4,4,CUSTOMER
79,13508,D3,3,DEPOT,1397,C4,4,CUSTOMER
80,12141,D4,4,DEPOT,1882,C4,4,CUSTOMER
81,5582,D5,5,DEPOT,1161,C4,4,CUSTOMER
82,2544,C5,5,CUSTOMER,531,C1,1,CUSTOMER
83,5768,C5,5,CUSTOMER,940,C2,2,CUSTOMER
84,6141,C5,5,CUSTOMER,1075,C3,3,CUSTOMER
85,2406,C5,5,CUSTOMER,568,C4,4,CUSTOMER
86,0,C5,5,CUSTOMER,0,C5,5,CUSTOMER
87,13465,C5,5,CUSTOMER,1723,D1,1,DEPOT
88,4661,C5,5,CUSTOMER,884,D2,2,DEPOT
89,9040,C5,5,CUSTOMER,1456,D3,3,DEPOT
90,10458,C5,5,CUSTOMER,1437,D4,4,DEPOT
91,7167,C5,5,CUSTOMER,1352,D5,5,DEPOT
92,2668,C1,1,CUSTOMER,555,C5,5,CUSTOMER
93,4234,C2,2,CUSTOMER,755,C5,5,CUSTOMER
94,5840,C3,3,CUSTOMER,965,C5,5,CUSTOMER
95,3231,C4,4,CUSTOMER,662,C5,5,CUSTOMER
96,10512,D1,1,DEPOT,1542,C5,5,CUSTOMER
97,5384,D2,2,DEPOT,1000,C5,5,CUSTOMER
98,10295,D3,3,DEPOT,1487,C5,5,CUSTOMER
99,9806,D4,4,DEPOT,1344,C5,5,CUSTOMER
100,10292,D5,5,DEPOT,1471,C5,5,CUSTOMER
101,1149,C6,6,CUSTOMER,246,C1,1,CUSTOMER
102,7938,C6,6,CUSTOMER,1234,C2,2,CUSTOMER
103,9998,C6,6,CUSTOMER,1578,C3,3,CUSTOMER
104,2390,C6,6,CUSTOMER,445,C4,4,CUSTOMER
105,3285,C6,6,CUSTOMER,687,C5,5,CUSTOMER
106,0,C6,6,CUSTOMER,0,C6,6,CUSTOMER
107,13448,C6,6,CUSTOMER,1599,D1,1,DEPOT
108,4645,C6,6,CUSTOMER,760,D2,2,DEPOT
109,15627,C6,6,CUSTOMER,1741,D3,3,DEPOT
110,10742,C6,6,CUSTOMER,1591,D4,4,DEPOT
111,6442,C6,6,CUSTOMER,1057,D5,5,DEPOT
112,2850,C1,1,CUSTOMER,492,C6,6,CUSTOMER
113,7061,C2,2,CUSTOMER,1267,C6,6,CUSTOMER
114,8667,C3,3,CUSTOMER,1478,C6,6,CUSTOMER
115,4115,C4,4,CUSTOMER,737,C6,6,CUSTOMER
116,2899,C5,5,CUSTOMER,544,C6,6,CUSTOMER
117,12243,D1,1,DEPOT,1802,C6,6,CUSTOMER
118,7115,D2,2,DEPOT,1260,C6,6,CUSTOMER
119,13122,D3,3,DEPOT,2000,C6,6,CUSTOMER
120,10933,D4,4,DEPOT,1702,C6,6,CUSTOMER
121,8707,D5,5,DEPOT,1519,C6,6,CUSTOMER
122,2894,C7,7,CUSTOMER,459,C1,1,CUSTOMER
123,9345,C7,7,CUSTOMER,1259,C2,2,CUSTOMER
124,11405,C7,7,CUSTOMER,1603,C3,3,CUSTOMER
125,4121,C7,7,CUSTOMER,712,C4,4,CUSTOMER
126,5561,C7,7,CUSTOMER,1015,C5,5,CUSTOMER
127,4652,C7,7,CUSTOMER,843,C6,6,CUSTOMER
128,0,C7,7,CUSTOMER,0,C7,7,CUSTOMER
129,14849,C7,7,CUSTOMER,1682,D1,1,DEPOT
130,6046,C7,7,CUSTOMER,843,D2,2,DEPOT
131,19119,C7,7,CUSTOMER,1818,D3,3,DEPOT
132,12664,C7,7,CUSTOMER,1919,D4,4,DEPOT
133,4795,C7,7,CUSTOMER,804,D5,5,DEPOT
134,2900,C1,1,CUSTOMER,608,C7,7,CUSTOMER
135,10372,C2,2,CUSTOMER,1486,C7,7,CUSTOMER
136,11976,C3,3,CUSTOMER,1775,C7,7,CUSTOMER
137,4349,C4,4,CUSTOMER,755,C7,7,CUSTOMER
138,5654,C5,5,CUSTOMER,1051,C7,7,CUSTOMER
139,2559,C6,6,CUSTOMER,533,C7,7,CUSTOMER
140,11329,D1,1,DEPOT,1655,C7,7,CUSTOMER
141,7846,D2,2,DEPOT,985,C7,7,CUSTOMER
142,18013,D3,3,DEPOT,1654,C7,7,CUSTOMER
143,13501,D4,4,DEPOT,2033,C7,7,CUSTOMER
144,4685,D5,5,DEPOT,807,C7,7,CUSTOMER
145,7088,C8,8,CUSTOMER,1254,C1,1,CUSTOMER
146,4437,C8,8,CUSTOMER,746,C2,2,CUSTOMER
147,3982,C8,8,CUSTOMER,795,C3,3,CUSTOMER
148,6950,C8,8,CUSTOMER,1291,C4,4,CUSTOMER
149,4615,C8,8,CUSTOMER,754,C5,5,CUSTOMER
150,7443,C8,8,CUSTOMER,1267,C6,6,CUSTOMER
151,10198,C8,8,CUSTOMER,1774,C7,7,CUSTOMER
152,0,C8,8,CUSTOMER,0,C8,8,CUSTOMER
153,14020,C8,8,CUSTOMER,2011,D1,1,DEPOT
154,8498,C8,8,CUSTOMER,1447,D2,2,DEPOT
155,4111,C8,8,CUSTOMER,699,D3,3,DEPOT
156,6583,C8,8,CUSTOMER,879,D4,4,DEPOT
157,14621,C8,8,CUSTOMER,1842,D5,5,DEPOT
158,7801,C1,1,CUSTOMER,1308,C8,8,CUSTOMER
159,3000,C2,2,CUSTOMER,519,C8,8,CUSTOMER
160,4371,C3,3,CUSTOMER,817,C8,8,CUSTOMER
161,8333,C4,4,CUSTOMER,1359,C8,8,CUSTOMER
162,4953,C5,5,CUSTOMER,838,C8,8,CUSTOMER
163,8418,C6,6,CUSTOMER,1439,C8,8,CUSTOMER
