id,created_at,updated_at,distance,from_node_code,from_node_id,from_node_name,from_node_type,risk_probability,time,to_node_code,to_node_id,to_node_name,to_node_type
1,1658894328761,,0,D1,1,Kho hàng AEON Mall Hà Đông,DEPOT,0.01,0,D1,1,Kho hàng AEON Mall Hà Đông,DEPOT
2,1658894415511,,7498,D2,2,Kho hàng Big C THĂNG LONG,DEPOT,0.01,1183,D1,1,Kho hàng AEON Mall Hà Đông,DEPOT
3,1658894415524,,0,D2,2,Kho hàng Big C THĂNG LONG,DEPOT,0.01,0,D2,2,Kho hàng Big C THĂNG LONG,DEPOT
4,1658894435695,,6426,D1,1,Kho hàng AEON Mall Hà Đông,DEPOT,0.01,938,D2,2,Kho hàng Big C THĂNG LONG,DEPOT
5,1658894579864,,15799,D3,3,Kho hàng MM Mega Market Hoàng Mai,DEPOT,0.01,1760,D1,1,Kho hàng AEON Mall Hà Đông,DEPOT
6,1658894579867,,11289,D3,3,Kho hàng MM Mega Market Hoàng Mai,DEPOT,0.01,1097,D2,2,Kho hàng Big C THĂNG LONG,DEPOT
7,1658894579868,,0,D3,3,Kho hàng MM Mega Market Hoàng Mai,DEPOT,0.01,0,D3,3,Kho hàng MM Mega Market Hoàng Mai,DEPOT
8,1658894600157,,16235,D1,1,Kho hàng AEON Mall Hà Đông,DEPOT,0.01,1693,D3,3,Kho hàng MM Mega Market Hoàng Mai,DEPOT
9,1658894600201,,11352,D2,2,Kho hàng Big C THĂNG LONG,DEPOT,0.01,1167,D3,3,Kho hàng MM Mega Market Hoàng Mai,DEPOT
10,1658894634023,,19145,D4,4,Kho hàng AEON Mall Long Biên,DEPOT,0.01,2541,D1,1,Kho hàng AEON Mall Hà Đông,DEPOT
11,1658894634082,,13624,D4,4,Kho hàng AEON Mall Long Biên,DEPOT,0.01,1977,D2,2,Kho hàng Big C THĂNG LONG,DEPOT
12,1658894634083,,8328,D4,4,Kho hàng AEON Mall Long Biên,DEPOT,0.01,1146,D3,3,Kho hàng MM Mega Market Hoàng Mai,DEPOT
13,1658894634083,,0,D4,4,Kho hàng AEON Mall Long Biên,DEPOT,0.01,0,D4,4,Kho hàng AEON Mall Long Biên,DEPOT
14,1658894654277,,19322,D1,1,Kho hàng AEON Mall Hà Đông,DEPOT,0.01,2508,D4,4,Kho hàng AEON Mall Long Biên,DEPOT
15,1658894654283,,21262,D2,2,Kho hàng Big C THĂNG LONG,DEPOT,0.01,1983,D4,4,Kho hàng AEON Mall Long Biên,DEPOT
16,1658894654284,,9126,D3,3,Kho hàng MM Mega Market Hoàng Mai,DEPOT,0.01,1236,D4,4,Kho hàng AEON Mall Long Biên,DEPOT
17,1658894716899,,11094,D5,5,Công ty TNHH nước giải khát BlueSea (nước giải khát và đồ uống không cồn),DEPOT,0.01,1485,D1,1,Kho hàng AEON Mall Hà Đông,DEPOT
18,1658894716914,,6045,D5,5,Công ty TNHH nước giải khát BlueSea (nước giải khát và đồ uống không cồn),DEPOT,0.01,757,D2,2,Kho hàng Big C THĂNG LONG,DEPOT
19,1658894716916,,16025,D5,5,Công ty TNHH nước giải khát BlueSea (nước giải khát và đồ uống không cồn),DEPOT,0.01,1414,D3,3,Kho hàng MM Mega Market Hoàng Mai,DEPOT
20,1658894716917,,25935,D5,5,Công ty TNHH nước giải khát BlueSea (nước giải khát và đồ uống không cồn),DEPOT,0.01,2230,D4,4,Kho hàng AEON Mall Long Biên,DEPOT
21,1658894716919,,0,D5,5,Công ty TNHH nước giải khát BlueSea (nước giải khát và đồ uống không cồn),DEPOT,0.01,0,D5,5,Công ty TNHH nước giải khát BlueSea (nước giải khát và đồ uống không cồn),DEPOT
22,1658894737130,,8850,D1,1,Kho hàng AEON Mall Hà Đông,DEPOT,0.01,1315,D5,5,Công ty TNHH nước giải khát BlueSea (nước giải khát và đồ uống không cồn),DEPOT
23,1658894737144,,6255,D2,2,Kho hàng Big C THĂNG LONG,DEPOT,0.01,767,D5,5,Công ty TNHH nước giải khát BlueSea (nước giải khát và đồ uống không cồn),DEPOT
24,1658894737146,,16421,D3,3,Kho hàng MM Mega Market Hoàng Mai,DEPOT,0.01,1436,D5,5,Công ty TNHH nước giải khát BlueSea (nước giải khát và đồ uống không cồn),DEPOT
25,1658894737148,,26393,D4,4,Kho hàng AEON Mall Long Biên,DEPOT,0.01,2308,D5,5,Công ty TNHH nước giải khát BlueSea (nước giải khát và đồ uống không cồn),DEPOT
26,1658895466512,,0,C1,1,VinMart Liễu Giai,CUSTOMER,0.01,0,C1,1,VinMart Liễu Giai,CUSTOMER
27,1658895466520,,12979,C1,1,VinMart Liễu Giai,CUSTOMER,0.01,1574,D1,1,Kho hàng AEON Mall Hà Đông,DEPOT
28,1658895466521,,4175,C1,1,VinMart Liễu Giai,CUSTOMER,0.01,735,D2,2,Kho hàng Big C THĂNG LONG,DEPOT
29,1658895466528,,15158,C1,1,VinMart Liễu Giai,CUSTOMER,0.01,1717,D3,3,Kho hàng MM Mega Market Hoàng Mai,DEPOT
30,1658895466538,,10945,C1,1,VinMart Liễu Giai,CUSTOMER,0.01,1651,D4,4,Kho hàng AEON Mall Long Biên,DEPOT
31,1658895466539,,5749,C1,1,VinMart Liễu Giai,CUSTOMER,0.01,1041,D5,5,Công ty TNHH nước giải khát BlueSea (nước giải khát và đồ uống không cồn),DEPOT
32,1658895486785,,9393,D1,1,Kho hàng AEON Mall Hà Đông,DEPOT,0.01,1309,C1,1,VinMart Liễu Giai,CUSTOMER
33,1658895486794,,4265,D2,2,Kho hàng Big C THĂNG LONG,DEPOT,0.01,768,C1,1,VinMart Liễu Giai,CUSTOMER
34,1658895486795,,14256,D3,3,Kho hàng MM Mega Market Hoàng Mai,DEPOT,0.01,1468,C1,1,VinMart Liễu Giai,CUSTOMER
35,1658895486796,,12256,D4,4,Kho hàng AEON Mall Long Biên,DEPOT,0.01,1790,C1,1,VinMart Liễu Giai,CUSTOMER
36,1658895486797,,5857,D5,5,Công ty TNHH nước giải khát BlueSea (nước giải khát và đồ uống không cồn),DEPOT,0.01,1026,C1,1,VinMart Liễu Giai,CUSTOMER
