id,created_at,updated_at,capacity,price,quantity,weight,order_id,product_id,return_order_id
1,1658898151576,,0.6,1267500,15,19.5,1,27,
2,1658898151704,,0.6,5400000,15,240.0,1,73,
3,1658898151835,,1.4,6800000,20,200.0,1,31,
4,1658898151961,,0.2,3100000,20,76.0,1,22,
5,1658898152086,,3.6,8990000,10,68.0,1,80,
6,1658898162271,,0.6,1267500,15,19.5,2,27,
7,1658898162398,,0.6,5400000,15,240.0,2,73,
8,1658898162524,,1.4,6800000,20,200.0,2,31,
9,1658898162649,,0.2,3100000,20,76.0,2,22,
10,1658898162774,,3.6,8990000,10,68.0,2,80,
11,1658898172351,,0.6,1267500,15,19.5,3,27,
12,1658898172489,,0.6,5400000,15,240.0,3,73,
13,1658898172627,,1.4,6800000,20,200.0,3,31,
14,1658898172753,,0.2,3100000,20,76.0,3,22,
15,1658898172879,,3.6,8990000,10,68.0,3,80,
16,1658898181345,,0.6,1267500,15,19.5,4,27,
17,1658898181472,,0.6,5400000,15,240.0,4,73,
18,1658898181600,,1.4,6800000,20,200.0,4,31,
19,1658898181724,,0.2,3100000,20,76.0,4,22,
20,1658898181850,,3.6,8990000,10,68.0,4,80,
21,1658898193584,,0.6,1267500,15,19.5,5,27,
22,1658898193714,,0.6,5400000,15,240.0,5,73,
23,1658898193840,,1.4,6800000,20,200.0,5,31,
24,1658898193966,,0.2,3100000,20,76.0,5,22,
25,1658898194091,,3.6,8990000,10,68.0,5,80,
26,1658898206451,,0.6,1267500,15,19.5,6,27,
27,1658898206579,,0.6,5400000,15,240.0,6,73,
28,1658898206705,,1.4,6800000,20,200.0,6,31,
29,1658898206830,,0.2,3100000,20,76.0,6,22,
30,1658898206959,,3.6,8990000,10,68.0,6,80,
31,1658898217502,,0.6,1267500,15,19.5,7,27,
32,1658898217629,,0.6,5400000,15,240.0,7,73,
33,1658898217754,,1.4,6800000,20,200.0,7,31,
34,1658898217882,,0.2,3100000,20,76.0,7,22,
35,1658898218008,,3.6,8990000,10,68.0,7,80,
36,1658898231974,,0.6,1267500,15,19.5,8,27,
