id,created_at,updated_at,available,average_fee_transport,average_gas_consume,average_velocity,fixed_cost,driver_name,gas_price,height,length,max_capacity,max_load_weight,max_velocity,min_velocity,name,type,width,dx_code,vehicle_cost
8,1658745322023,1658856124889,True,3380,0.13,60,1200,,30000,2.5,8.0,47.0,8000,80,40,Xe tải 8 tấn - 01,TRUCK,2.35,62de71e989785b2c61a388d8,321000
26,1659235892989,1659236418097,True,600,0.02,45,1200,,30000,0.8,1.0,0.6400000000000001,120,70,20,Xe máy wave alpha 110cc - 03,BIKE,0.8,62e5ee344ffe4928a6b047b9,53500
21,1659235748355,1659236415869,True,2340,0.09,70,1200,,30000,2.0,4.3,15.48,2500,120,20,Xe tải 2.5 tấn - 07,TRUCK,1.8,62e5eda44ffe4928a6b0475a,145000
6,1658745247585,1658856123991,True,2860,0.11,60,1200,,30000,2.0,4.3,16.77,3500,80,40,Xe tải 3.5 tấn - 01,TRUCK,1.95,62de719f89785b2c61a38892,221000
20,1659235743301,1659236415351,True,2340,0.09,70,1200,,30000,2.0,4.3,15.48,2500,120,20,Xe tải 2.5 tấn - 06,TRUCK,1.8,62e5ed9f4ffe4928a6b04747,145000
4,1658745178907,1658856123586,True,2340,0.09,60,1200,,30000,2.0,4.3,15.48,2500,80,40,Xe tải 2.5 tấn - 01,TRUCK,1.8,62de715a89785b2c61a38849,145000
1,1658744924151,1658856123218,True,1560,0.06,65,1200,,30000,1.73,3.17,8.993923999999998,1250,120,10,XT1 HYUNDAI NEW PORTER 150 Kín Cánh Dơi,TRUCK,1.64,62de705b89785b2c61a385bd,146000
17,1659235728931,1659236413989,True,2340,0.09,70,1200,,30000,2.0,4.3,15.48,2500,120,20,Xe tải 2.5 tấn - 03,TRUCK,1.8,62e5ed904ffe4928a6b0470e,145000
5,1658745209777,1658856123729,True,2340,0.09,60,1200,,30000,1.8,4.3,13.932,2000,80,40,Xe tải 2 tấn - 01,TRUCK,1.8,62de717989785b2c61a3886c,144000
15,1658851592343,1658856214673,True,2860,0.11,70,1200,,30000,2.0,4.2,16.296,3500,100,40,Xe tải 3.5 tấn - 08,TRUCK,1.94,62e011089a6a438324b09774,221000
3,1658745123855,1658856123463,True,1560,0.06,60,1200,,30000,1.7,3.0,8.16,1000,80,40,Xe tải 1 tấn - 01,TRUCK,1.6,62de712389785b2c61a38825,134000
9,1658851541260,1658856125192,True,2860,0.11,70,1200,,30000,2.0,4.2,16.296,3500,100,40,Xe tải 3.5 tấn - 02,TRUCK,1.94,62e010d49a6a438324b09701,221000
18,1659235733568,1659236414462,True,2340,0.09,70,1200,,30000,2.0,4.3,15.48,2500,120,20,Xe tải 2.5 tấn - 04,TRUCK,1.8,62e5ed954ffe4928a6b04721,145000
2,1658745064510,1658856123342,True,1560,0.06,65,1200,,30000,1.73,3.17,8.993923999999998,1250,120,10,XT2 - HYUNDAI NEW PORTER 150 Kín Cánh Dơi,TRUCK,1.64,62de70e889785b2c61a38801,146000
14,1658851588252,1658856125852,True,2860,0.11,70,1200,,30000,2.0,4.2,16.296,3500,100,40,Xe tải 3.5 tấn - 07,TRUCK,1.94,62e011049a6a438324b09760,221000
