from_node_id,to_node_id,from_node_type,to_node_type,distance,time
1,1,DEPOT,DEPOT,0,0
2,1,DEPOT,DEPOT,7498,1183
2,2,DEPOT,DEPOT,0,0
1,2,DEPOT,DEPOT,6426,938
3,1,DEPOT,DEPOT,15799,1760
3,2,DEPOT,DEPOT,11289,1097
3,3,DEPOT,DEPOT,0,0
1,3,DEPOT,DEPOT,16235,1693
2,3,DEPOT,DEPOT,11352,1167
4,1,DEPOT,DEPOT,19145,2541
4,2,DEPOT,DEPOT,13624,1977
4,3,DEPOT,DEPOT,8328,1146
4,4,DEPOT,DEPOT,0,0
1,4,DEPOT,DEPOT,19322,2508
2,4,DEPOT,DEPOT,21262,1983
3,4,DEPOT,DEPOT,9126,1236
5,1,DEPOT,DEPOT,11094,1485
5,2,DEPOT,DEPOT,6045,757
5,3,DEPOT,DEPOT,16025,1414
5,4,DEPOT,DEPOT,25935,2230
5,5,DEPOT,DEPOT,0,0
1,5,DEPOT,DEPOT,8850,1315
2,5,DEPOT,DEPOT,6255,767
3,5,DEPOT,DEPOT,16421,1436
4,5,DEPOT,DEPOT,26393,2308
1,1,CUSTOMER,CUSTOMER,0,0
1,1,CUSTOMER,DEPOT,12979,1574
1,2,CUSTOMER,DEPOT,4175,735
1,3,CUSTOMER,DEPOT,15158,1717
1,4,CUSTOMER,DEPOT,10945,1651
1,5,CUSTOMER,DEPOT,5749,1041
1,1,DEPOT,CUSTOMER,9393,1309
2,1,DEPOT,CUSTOMER,4265,768
3,1,DEPOT,CUSTOMER,14256,1468
4,1,DEPOT,CUSTOMER,12256,1790
5,1,DEPOT,CUSTOMER,5857,1026
2,1,CUSTOMER,CUSTOMER,7391,1198
2,2,CUSTOMER,CUSTOMER,0,0
2,1,CUSTOMER,DEPOT,12530,1757
2,2,CUSTOMER,DEPOT,7008,1193
2,3,CUSTOMER,DEPOT,4797,741
2,4,CUSTOMER,DEPOT,7289,923
2,5,CUSTOMER,DEPOT,13131,1588
1,2,CUSTOMER,CUSTOMER,7015,1095
1,2,DEPOT,CUSTOMER,12135,1634
2,2,DEPOT,CUSTOMER,7454,1171
3,2,DEPOT,CUSTOMER,7382,1039
4,2,DEPOT,CUSTOMER,9563,1276
5,2,DEPOT,CUSTOMER,12132,1381
3,1,CUSTOMER,CUSTOMER,8313,1465
3,2,CUSTOMER,CUSTOMER,2498,480
3,3,CUSTOMER,CUSTOMER,0,0
3,1,CUSTOMER,DEPOT,14134,2046
3,2,CUSTOMER,DEPOT,8612,1482
3,3,CUSTOMER,DEPOT,3868,622
3,4,CUSTOMER,DEPOT,8660,1221
3,5,CUSTOMER,DEPOT,14735,1876
1,3,CUSTOMER,CUSTOMER,9075,1440
2,3,CUSTOMER,CUSTOMER,2523,542
1,3,DEPOT,CUSTOMER,14195,1978
2,3,DEPOT,CUSTOMER,9514,1515
3,3,DEPOT,CUSTOMER,5274,753
4,3,DEPOT,CUSTOMER,9175,1313
5,3,DEPOT,CUSTOMER,17062,1716
4,1,CUSTOMER,CUSTOMER,1265,244
4,2,CUSTOMER,CUSTOMER,5995,939
4,3,CUSTOMER,CUSTOMER,8055,1284
4,4,CUSTOMER,CUSTOMER,0,0
4,1,CUSTOMER,DEPOT,11505,1305
4,2,CUSTOMER,DEPOT,2702,466
4,3,CUSTOMER,DEPOT,13685,1447
4,4,CUSTOMER,DEPOT,13182,1813
4,5,CUSTOMER,DEPOT,8588,1047
1,4,CUSTOMER,CUSTOMER,1920,420
2,4,CUSTOMER,CUSTOMER,6643,1126
3,4,CUSTOMER,CUSTOMER,8247,1415
1,4,DEPOT,CUSTOMER,8645,1238
2,4,DEPOT,CUSTOMER,3516,696
3,4,DEPOT,CUSTOMER,13508,1397
4,4,DEPOT,CUSTOMER,12141,1882
5,4,DEPOT,CUSTOMER,5582,1161
5,1,CUSTOMER,CUSTOMER,2544,531
5,2,CUSTOMER,CUSTOMER,5768,940
5,3,CUSTOMER,CUSTOMER,6141,1075
5,4,CUSTOMER,CUSTOMER,2406,568
5,5,CUSTOMER,CUSTOMER,0,0
5,1,CUSTOMER,DEPOT,13465,1723
5,2,CUSTOMER,DEPOT,4661,884
5,3,CUSTOMER,DEPOT,9040,1456
5,4,CUSTOMER,DEPOT,10458,1437
5,5,CUSTOMER,DEPOT,7167,1352
1,5,CUSTOMER,CUSTOMER,2668,555
2,5,CUSTOMER,CUSTOMER,4234,755
3,5,CUSTOMER,CUSTOMER,5840,965
4,5,CUSTOMER,CUSTOMER,3231,662
1,5,DEPOT,CUSTOMER,10512,1542
2,5,DEPOT,CUSTOMER,5384,1000
3,5,DEPOT,CUSTOMER,10295,1487
4,5,DEPOT,CUSTOMER,9806,1344
5,5,DEPOT,CUSTOMER,10292,1471
6,1,CUSTOMER,CUSTOMER,1149,246
6,2,CUSTOMER,CUSTOMER,7938,1234
6,3,CUSTOMER,CUSTOMER,9998,1578
6,4,CUSTOMER,CUSTOMER,2390,445
6,5,CUSTOMER,CUSTOMER,3285,687
6,6,CUSTOMER,CUSTOMER,0,0
6,1,CUSTOMER,DEPOT,13448,1599
6,2,CUSTOMER,DEPOT,4645,760
6,3,CUSTOMER,DEPOT,15627,1741
6,4,CUSTOMER,DEPOT,10742,1591
6,5,CUSTOMER,DEPOT,6442,1057
1,6,CUSTOMER,CUSTOMER,2850,492
2,6,CUSTOMER,CUSTOMER,7061,1267
3,6,CUSTOMER,CUSTOMER,8667,1478
4,6,CUSTOMER,CUSTOMER,4115,737
5,6,CUSTOMER,CUSTOMER,2899,544
1,6,DEPOT,CUSTOMER,12243,1802
2,6,DEPOT,CUSTOMER,7115,1260
3,6,DEPOT,CUSTOMER,13122,2000
4,6,DEPOT,CUSTOMER,10933,1702
5,6,DEPOT,CUSTOMER,8707,1519
7,1,CUSTOMER,CUSTOMER,2894,459
7,2,CUSTOMER,CUSTOMER,9345,1259
7,3,CUSTOMER,CUSTOMER,11405,1603
7,4,CUSTOMER,CUSTOMER,4121,712
7,5,CUSTOMER,CUSTOMER,5561,1015
7,6,CUSTOMER,CUSTOMER,4652,843
7,7,CUSTOMER,CUSTOMER,0,0
7,1,CUSTOMER,DEPOT,14849,1682
