id,product_id,quantity,weight,capacity,order_id
1,27,15,19.5,0.6,1
2,73,15,240.0,0.6,1
3,31,20,200.0,1.4,1
4,22,20,76.0,0.2,1
5,80,10,68.0,3.6,1
6,27,15,19.5,0.6,2
7,73,15,240.0,0.6,2
8,31,20,200.0,1.4,2
9,22,20,76.0,0.2,2
10,80,10,68.0,3.6,2
11,27,15,19.5,0.6,3
12,73,15,240.0,0.6,3
13,31,20,200.0,1.4,3
14,22,20,76.0,0.2,3
15,80,10,68.0,3.6,3
16,27,15,19.5,0.6,4
17,73,15,240.0,0.6,4
18,31,20,200.0,1.4,4
19,22,20,76.0,0.2,4
20,80,10,68.0,3.6,4
21,27,15,19.5,0.6,5
22,73,15,240.0,0.6,5
23,31,20,200.0,1.4,5
24,22,20,76.0,0.2,5
25,80,10,68.0,3.6,5
26,27,15,19.5,0.6,6
27,73,15,240.0,0.6,6
28,31,20,200.0,1.4,6
29,22,20,76.0,0.2,6
30,80,10,68.0,3.6,6
31,27,15,19.5,0.6,7
32,73,15,240.0,0.6,7
33,31,20,200.0,1.4,7
34,22,20,76.0,0.2,7
35,80,10,68.0,3.6,7
36,27,15,19.5,0.6,8
37,73,15,240.0,0.6,8
38,31,20,200.0,1.4,8
39,22,20,76.0,0.2,8
40,80,10,68.0,3.6,8
41,27,15,19.5,0.6,9
42,73,15,240.0,0.6,9
43,31,20,200.0,1.4,9
44,22,20,76.0,0.2,9
45,80,10,68.0,3.6,9
46,27,15,19.5,0.6,10
47,73,15,240.0,0.6,10
48,31,20,200.0,1.4,10
49,22,20,76.0,0.2,10
50,80,10,68.0,3.6,10
51,27,15,19.5,0.6,11
52,73,15,240.0,0.6,11
53,31,20,200.0,1.4,11
54,22,20,76.0,0.2,11
55,80,10,68.0,3.6,11
56,27,15,19.5,0.6,12
57,73,15,240.0,0.6,12
58,31,20,200.0,1.4,12
59,22,20,76.0,0.2,12
60,80,10,68.0,3.6,12
61,27,15,19.5,0.6,13
62,73,15,240.0,0.6,13
63,31,20,200.0,1.4,13
64,22,20,76.0,0.2,13
65,80,10,68.0,3.6,13
66,27,15,19.5,0.6,14
67,73,15,240.0,0.6,14
68,31,20,200.0,1.4,14
69,22,20,76.0,0.2,14
70,80,10,68.0,3.6,14
71,27,15,19.5,0.6,15
72,73,15,240.0,0.6,15
73,31,20,200.0,1.4,15
74,22,20,76.0,0.2,15
75,80,10,68.0,3.6,15
76,27,15,19.5,0.6,16
77,73,15,240.0,0.6,16
78,31,20,200.0,1.4,16
79,22,20,76.0,0.2,16
80,80,10,68.0,3.6,16
201,27,20,26.0,0.8,41
202,73,50,800.0,2.0,41
203,31,30,300.0,2.1,41
204,22,40,152.0,0.4,41
205,80,20,136.0,7.2,41
206,27,20,26.0,0.8,42
207,73,50,800.0,2.0,42
208,31,30,300.0,2.1,42
209,22,40,152.0,0.4,42
210,80,20,136.0,7.2,42
211,27,20,26.0,0.8,43
212,73,50,800.0,2.0,43
213,31,30,300.0,2.1,43
214,22,40,152.0,0.4,43
215,80,20,136.0,7.2,43
216,27,20,26.0,0.8,44
217,73,50,800.0,2.0,44
218,31,30,300.0,2.1,44
219,22,40,152.0,0.4,44
220,80,20,136.0,7.2,44
221,27,20,26.0,0.8,45
222,73,50,800.0,2.0,45
223,31,30,300.0,2.1,45
224,22,40,152.0,0.4,45
225,80,20,136.0,7.2,45
226,27,20,26.0,0.8,46
227,73,50,800.0,2.0,46
228,31,30,300.0,2.1,46
