id,type,average_fee_transport,average_gas_consume,fixed_cost,max_load_weight,max_capacity
8,TRUCK,3380,0.13,1200,8000,47.0
26,BIKE,600,0.02,1200,120,0.6400000000000001
21,TRUCK,2340,0.09,1200,2500,15.48
6,TRUCK,2860,0.11,1200,3500,16.77
20,TRUCK,2340,0.09,1200,2500,15.48
4,TRUCK,2340,0.09,1200,2500,15.48
1,TRUCK,1560,0.06,1200,1250,8.993923999999998
17,TRUCK,2340,0.09,1200,2500,15.48
5,TRUCK,2340,0.09,1200,2000,13.932
15,TRUCK,2860,0.11,1200,3500,16.296
3,TRUCK,1560,0.06,1200,1000,8.16
9,TRUCK,2860,0.11,1200,3500,16.296
18,TRUCK,2340,0.09,1200,2500,15.48
2,TRUCK,1560,0.06,1200,1250,8.993923999999998
14,TRUCK,2860,0.11,1200,3500,16.296
