id,created_at,updated_at,maxNumber,product_id,vehicle_id
1224,1659235883236,,8,107,24
1220,1659235883234,,4,103,24
1217,1659235883233,,8,31,24
1216,1659235883233,,15,27,24
1215,1659235883233,,53,22,24
1186,1659235755245,,42,80,22
1183,1659235755244,,215,95,22
1182,1659235755243,,38699,100,22
1179,1659235755242,,379,73,22
1170,1659235755239,,215,107,22
1166,1659235755237,,107,103,22
1163,1659235755235,,215,31,22
1162,1659235755235,,379,27,22
1161,1659235755234,,1283,22,22
102,1658745064617,,745,22,2
107,1658745064619,,220,27,2
1132,1659235743322,,42,80,20
111,1658745064621,,124,31,2
1129,1659235743321,,215,95,20
1128,1659235743321,,38699,100,20
1125,1659235743320,,379,73,20
1116,1659235743316,,215,107,20
1112,1659235743315,,107,103,20
1109,1659235743314,,215,31,20
1108,1659235743313,,379,27,20
1107,1659235743313,,1283,22,20
1105,1659235738608,,42,80,19
1102,1659235738605,,215,95,19
1101,1659235738605,,38699,100,19
1098,1659235738602,,379,73,19
153,1658745064644,,220,73,2
1089,1659235738593,,215,107,19
1085,1659235738591,,107,103,19
160,1658745064647,,24,80,2
1082,1659235738589,,215,31,19
1081,1659235738582,,379,27,19
1080,1659235738579,,1283,22,19
1078,1659235733593,,42,80,18
1075,1659235733592,,215,95,18
1074,1659235733592,,38699,100,18
1071,1659235733591,,379,73,18
182,1658745123933,,676,22,3
1062,1659235733588,,215,107,18
187,1658745123935,,200,27,3
1058,1659235733586,,107,103,18
191,1658745123937,,113,31,3
1055,1659235733585,,215,31,18
1054,1659235733583,,379,27,18
1053,1659235733582,,1283,22,18
1051,1659235728973,,42,80,17
1048,1659235728972,,215,95,17
1047,1659235728971,,38699,100,17
1044,1659235728970,,379,73,17
1035,1659235728967,,215,107,17
1031,1659235728965,,107,103,17
1028,1659235728964,,215,31,17
1027,1659235728963,,379,27,17
1026,1659235728963,,1283,22,17
1024,1659235708592,,42,80,16
1021,1659235708591,,215,95,16
1020,1659235708591,,38699,100,16
1017,1659235708590,,379,73,16
233,1658745123958,,200,73,3
240,1658745123962,,22,80,3
1008,1659235708587,,215,107,16
1004,1659235708586,,107,103,16
1001,1659235708584,,215,31,16
1000,1659235708583,,379,27,16
999,1659235708580,,1283,22,16
262,1658745178983,,1283,22,4
267,1658745178986,,379,27,4
271,1658745178989,,215,31,4
313,1658745179024,,379,73,4
320,1658745179028,,42,80,4
342,1658745209840,,1154,22,5
347,1658745209842,,341,27,5
351,1658745209843,,193,31,5
877,1659234699420,,226,107,15
876,1659234699420,,226,107,14
875,1659234699419,,226,107,13
874,1659234699419,,226,107,12
873,1659234699417,,226,107,11
871,1659234699416,,226,107,9
870,1659234699416,,652,107,8
869,1659234699415,,344,107,7
393,1658745209872,,341,73,5
868,1659234699415,,232,107,6
867,1659234699415,,193,107,5
866,1659234699413,,215,107,4
865,1659234699412,,113,107,3
864,1659234699411,,124,107,2
400,1658745209876,,38,80,5
422,1658745247648,,1390,22,6
427,1658745247651,,411,27,6
431,1658745247654,,232,31,6
817,1659234286715,,113,103,15
816,1659234286714,,113,103,14
815,1659234286714,,113,103,13
814,1659234286714,,113,103,12
813,1659234286713,,113,103,11
811,1659234286702,,113,103,9
810,1659234286701,,326,103,8
809,1659234286701,,172,103,7
808,1659234286700,,116,103,6
807,1659234286700,,96,103,5
806,1659234286699,,107,103,4
805,1659234286699,,56,103,3
804,1659234286698,,62,103,2
473,1658745247685,,411,73,6
480,1658745247691,,46,80,6
772,1659233331483,,40739,100,15
771,1659233331483,,40739,100,14
770,1659233331482,,40739,100,13
769,1659233331482,,40739,100,12
502,1658745279202,,2055,22,7
768,1659233331482,,40739,100,11
766,1659233331481,,40739,100,9
765,1659233331481,,117499,100,8
507,1658745279206,,607,27,7
764,1659233331480,,61999,100,7
763,1659233331480,,41924,100,6
762,1659233331479,,34829,100,5
511,1658745279208,,344,31,7
761,1659233331479,,38699,100,4
760,1659233331479,,20399,100,3
759,1659233331478,,22484,100,2
553,1658745279227,,607,73,7
560,1658745279230,,68,80,7
697,1659232784787,,226,95,15
696,1659232784786,,226,95,14
695,1659232784786,,226,95,13
582,1658745322074,,3896,22,8
694,1659232784785,,226,95,12
693,1659232784785,,226,95,11
691,1659232784784,,226,95,9
587,1658745322077,,1151,27,8
690,1659232784783,,652,95,8
689,1659232784783,,344,95,7
688,1659232784783,,232,95,6
591,1658745322079,,652,31,8
687,1659232784782,,193,95,5
686,1659232784782,,215,95,4
685,1659232784781,,113,95,3
684,1659232784781,,124,95,2
682,1658851592379,,45,80,15
681,1658851592379,,399,73,15
680,1658851592378,,226,31,15
679,1658851592378,,399,27,15
678,1658851592377,,1350,22,15
676,1658851588285,,45,80,14
675,1658851588285,,399,73,14
674,1658851588284,,226,31,14
673,1658851588283,,399,27,14
672,1658851588283,,1350,22,14
670,1658851566351,,45,80,13
669,1658851566350,,399,73,13
668,1658851566350,,226,31,13
667,1658851566349,,399,27,13
666,1658851566348,,1350,22,13
664,1658851560088,,45,80,12
663,1658851560087,,399,73,12
662,1658851560087,,226,31,12
661,1658851560086,,399,27,12
660,1658851560086,,1350,22,12
658,1658851555689,,45,80,11
657,1658851555688,,399,73,11
656,1658851555688,,226,31,11
655,1658851555687,,399,27,11
654,1658851555686,,1350,22,11
633,1658745322104,,1151,73,8
646,1658851541568,,45,80,9
645,1658851541568,,399,73,9
644,1658851541567,,226,31,9
643,1658851541567,,399,27,9
642,1658851541566,,1350,22,9
640,1658745322109,,130,80,8
1233,1659235883257,,15,73,24
1236,1659235883258,,1600,100,24
1237,1659235883259,,8,95,24
1240,1659235883260,,1,80,24
