id,latitude,longitude,start_time,end_time
1,500408,4793723,21600.0,54000.0
2,500792,4793934,21600.0,54000.0
3,501039,4793705,21600.0,54000.0
4,500982,4794214,21600.0,54000.0
5,500394,4794227,21600.0,54000.0
6,498130,4795490,21600.0,54000.0
7,498516,4796163,21600.0,54000.0
8,498272,4795868,21600.0,54000.0
9,498175,4796298,21600.0,54000.0
10,498015,4795931,21600.0,54000.0
11,496882,4794721,21600.0,54000.0
12,496767,4795050,21600.0,54000.0
13,496478,4794738,21600.0,54000.0
14,496704,4795411,21600.0,54000.0
15,496106,4794950,21600.0,54000.0
16,494831,4793468,21600.0,54000.0
17,495318,4793183,21600.0,54000.0
18,495617,4792600,21600.0,54000.0
19,495477,4792337,21600.0,54000.0
20,494886,4792830,21600.0,54000.0
21,501164,4797910,21600.0,54000.0
22,500545,4797095,21600.0,54000.0
23,500068,4796818,21600.0,54000.0
24,500333,4797896,21600.0,54000.0
25,500013,4797383,21600.0,54000.0
26,503197,4791554,21600.0,54000.0
27,503350,4791977,21600.0,54000.0
28,503929,4790770,21600.0,54000.0
29,503998,4791707,21600.0,54000.0
30,504151,4791353,21600.0,54000.0
31,499153,4787027,21600.0,54000.0
32,499084,4786766,21600.0,54000.0
33,499415,4786662,21600.0,54000.0
34,497931,4787426,21600.0,54000.0
35,498167,4787117,21600.0,54000.0
36,505089,4790292,21600.0,54000.0
37,505127,4789903,21600.0,54000.0
38,505034,4789160,21600.0,54000.0
39,504608,4790038,21600.0,54000.0
40,504431,4789573,21600.0,54000.0
41,503669,4794849,21600.0,54000.0
42,503846,4795755,21600.0,54000.0
43,503693,4795481,21600.0,54000.0
44,503540,4795033,21600.0,54000.0
45,503436,4794572,21600.0,54000.0
46,498602,4790280,21600.0,54000.0
47,498564,4790018,21600.0,54000.0
48,498475,4789858,21600.0,54000.0
49,498346,4790124,21600.0,54000.0
50,498127,4790145,21600.0,54000.0
