id,customer_id,weight,capacity,time_service,time_loading
1,1,10.0,10.0,0,0
2,2,8.0,8.0,0,0
3,3,5.0,5.0,0,0
4,4,15.0,15.0,0,0
5,5,10.0,10.0,0,0
6,6,5.0,5.0,0,0
7,7,15.0,15.0,0,0
8,8,10.0,10.0,0,0
9,9,8.0,8.0,0,0
10,10,5.0,5.0,0,0
11,11,10.0,10.0,0,0
12,12,8.0,8.0,0,0
13,13,5.0,5.0,0,0
14,14,15.0,15.0,0,0
15,15,10.0,10.0,0,0
16,16,5.0,5.0,0,0
17,17,15.0,15.0,0,0
18,18,10.0,10.0,0,0
19,19,8.0,8.0,0,0
20,20,5.0,5.0,0,0
21,21,10.0,10.0,0,0
22,22,8.0,8.0,0,0
23,23,5.0,5.0,0,0
24,24,15.0,15.0,0,0
25,25,10.0,10.0,0,0
26,26,5.0,5.0,0,0
27,27,15.0,15.0,0,0
28,28,10.0,10.0,0,0
29,29,8.0,8.0,0,0
30,30,5.0,5.0,0,0
31,31,10.0,10.0,0,0
32,32,8.0,8.0,0,0
33,33,5.0,5.0,0,0
34,34,15.0,15.0,0,0
35,35,10.0,10.0,0,0
36,36,5.0,5.0,0,0
37,37,15.0,15.0,0,0
38,38,10.0,10.0,0,0
39,39,8.0,8.0,0,0
40,40,5.0,5.0,0,0
41,41,10.0,10.0,0,0
42,42,8.0,8.0,0,0
43,43,5.0,5.0,0,0
44,44,15.0,15.0,0,0
45,45,10.0,10.0,0,0
46,46,5.0,5.0,0,0
47,47,15.0,15.0,0,0
48,48,10.0,10.0,0,0
49,49,8.0,8.0,0,0
50,50,5.0,5.0,0,0
