id,customer_id,weight,capacity,time_service,time_loading
1,1,15.0,15.0,0,0
2,2,10.0,10.0,0,0
3,3,8.0,8.0,0,0
4,4,5.0,5.0,0,0
5,5,15.0,15.0,0,0
6,6,10.0,10.0,0,0
7,7,8.0,8.0,0,0
8,8,5.0,5.0,0,0
9,9,15.0,15.0,0,0
10,10,10.0,10.0,0,0
11,11,8.0,8.0,0,0
12,12,5.0,5.0,0,0
13,13,15.0,15.0,0,0
14,14,10.0,10.0,0,0
15,15,8.0,8.0,0,0
16,16,5.0,5.0,0,0
17,17,15.0,15.0,0,0
18,18,10.0,10.0,0,0
19,19,8.0,8.0,0,0
20,20,5.0,5.0,0,0
21,21,15.0,15.0,0,0
22,22,10.0,10.0,0,0
23,23,8.0,8.0,0,0
24,24,5.0,5.0,0,0
25,25,15.0,15.0,0,0
26,26,10.0,10.0,0,0
27,27,8.0,8.0,0,0
28,28,5.0,5.0,0,0
29,29,15.0,15.0,0,0
30,30,10.0,10.0,0,0
31,31,8.0,8.0,0,0
32,32,5.0,5.0,0,0
33,33,15.0,15.0,0,0
34,34,10.0,10.0,0,0
35,35,8.0,8.0,0,0
36,36,5.0,5.0,0,0
37,37,15.0,15.0,0,0
38,38,10.0,10.0,0,0
39,39,8.0,8.0,0,0
40,40,5.0,5.0,0,0
41,41,15.0,15.0,0,0
42,42,10.0,10.0,0,0
43,43,8.0,8.0,0,0
44,44,5.0,5.0,0,0
45,45,15.0,15.0,0,0
46,46,10.0,10.0,0,0
47,47,8.0,8.0,0,0
48,48,5.0,5.0,0,0
49,49,15.0,15.0,0,0
50,50,10.0,10.0,0,0
51,51,8.0,8.0,0,0
52,52,5.0,5.0,0,0
53,53,15.0,15.0,0,0
54,54,10.0,10.0,0,0
55,55,8.0,8.0,0,0
56,56,5.0,5.0,0,0
57,57,15.0,15.0,0,0
58,58,10.0,10.0,0,0
59,59,8.0,8.0,0,0
60,60,5.0,5.0,0,0
61,61,15.0,15.0,0,0
62,62,10.0,10.0,0,0
63,63,8.0,8.0,0,0
64,64,5.0,5.0,0,0
65,65,15.0,15.0,0,0
66,66,10.0,10.0,0,0
67,67,8.0,8.0,0,0
68,68,5.0,5.0,0,0
69,69,15.0,15.0,0,0
70,70,10.0,10.0,0,0
71,71,8.0,8.0,0,0
72,72,5.0,5.0,0,0
73,73,15.0,15.0,0,0
74,74,10.0,10.0,0,0
75,75,8.0,8.0,0,0
76,76,5.0,5.0,0,0
77,77,15.0,15.0,0,0
78,78,10.0,10.0,0,0
79,79,8.0,8.0,0,0
80,80,5.0,5.0,0,0
